parcelid,neighborhood,latitude,longitude
00509136,A516,35.462958,-80.86250035
03122544,D129,35.33489204,-80.9666704
01945305,B915,35.41573311,-80.82608423
00532215,A520,35.44889801,-80.85503518
00543428,A520,35.44683674,-80.85319997
00523136,A513,35.47331549,-80.85981137
22352463,W305,35.02155432,-80.83713471
22352508,W305,35.02096591,-80.83447756
22352542,W305,35.01894972,-80.83376598
20113217,U110,35.14356584,-80.95759988
20906210,U930,35.14171063,-80.83106207
20129107,Q711,35.15543877,-80.9246155
20135303,U122,35.12118082,-80.96980118
20911244,U920,35.13587878,-80.82613876
07907113,H905,35.2554313,-80.82781767
20927223,U911,35.11301464,-80.8294666
19937124,T916,35.13975493,-81.02472872
19925203,T903,35.16727689,-80.9908102
20904114,U920,35.1351456,-80.81817826
20905404,U920,35.13749122,-80.82256957
20125227,U110,35.13853123,-80.95563938
20930319,U911,35.10967625,-80.82997276
19304769,T330,35.17244624,-80.71198552
19304771,T330,35.17265606,-80.71181539
02910135,C927,35.34215292,-80.72611404
19926473,T903,35.1612254,-80.99275829
19920336,T915,35.15094377,-80.98485775
03114203,D109,35.30452536,-80.99369774
07844517,H810,35.24663729,-80.84106646
18311132,S321,35.15261729,-80.80004046
12524390,M510,35.20774193,-80.8322418
06111383,G111,35.23399876,-80.90217609
07102161,H105,35.23152265,-80.86659306
10106511,K111,35.2260734,-80.7706083
19901521,T932,35.09957537,-81.00401975
18709206,S710,35.15216366,-80.78328991
04544201,E502,35.31009842,-80.83228462
18712319,S732,35.14560848,-80.78922798
20951104,U919,35.10860716,-80.85748626
21117518,V163,35.10854313,-80.81378523
04309469,E305,35.33707868,-80.80637027
02912921,C923,35.34201052,-80.74178887
06305137,F710,35.25676209,-80.90258265
19960117,T916,35.14594862,-81.01696624
05707122,F714,35.2668346,-80.91931774
02941750,C916,35.37935108,-80.78037332
11101625,L106,35.25308155,-80.68049339
04706814,E715,35.3059547,-80.78265842
04706767,E715,35.30405145,-80.78362645
03130327,D112,35.29423909,-80.96251581
04912401,E909,35.27446813,-80.74930391
05108121,F104,35.33715502,-80.70193088
13703309,N723,35.18468699,-80.6707776
02111751,C103,35.39984137,-80.76709916
16906168,Q709,35.16974027,-80.89027164
01515230,B507,35.38472629,-80.90974476
01513145,B507,35.38723759,-80.90872204
19919557,T903,35.15676823,-80.98264999
00531350,A520,35.44568775,-80.85870255
00509613,A522,35.46913743,-80.85940454
00509615,A522,35.46916043,-80.85973311
03119378,D123,35.32444419,-80.96738928
00741211,A730,35.46529099,-80.78500064
14511312,O511,35.20174834,-80.89153867
14705311,O707,35.19279806,-80.86892894
02929172,C939,35.38622703,-80.78107939
13936633,N927,35.19818615,-80.62210377
21136207,V123,35.12460521,-80.80709822
04309249,E322,35.33641103,-80.8037475
04706709,E715,35.30372577,-80.78678905
18714211,S720,35.14756853,-80.77791218
18714332,S720,35.15036643,-80.7794174
18716102,S720,35.14183348,-80.78496858
18726203,S722,35.13094412,-80.79314168
19926511,T903,35.1637561,-80.99618703
05111345,F130,35.32217706,-80.69025076
03309317,D316,35.31430357,-80.90893286
21928247,V921,35.07669491,-80.99371411
03114350,D109,35.30465652,-80.99649442
03114379,D109,35.30512582,-80.99490665
22915580,W937,35.05834207,-80.78465768
08113309,I105,35.22978362,-80.81954779
18319829,S320,35.14449643,-80.81661606
18321108,S320,35.14127667,-80.80932204
18504310,S520,35.17075204,-80.79847224
20147386,U125,35.14992701,-80.95921862
19340512,T349,35.13828695,-80.70321323
21926358,V723,35.08062397,-80.98162025
04524312,E508,35.28782981,-80.82102885
04524320,E508,35.2874029,-80.82252311
04541112,E502,35.30815686,-80.82842365
04544301,E502,35.30919946,-80.83152693
18710217,S720,35.15427703,-80.77820937
20942228,U931,35.12083919,-80.82825314
20948188,U919,35.09861653,-80.84965905
21108605,V110,35.11521441,-80.80299265
21110151,V122,35.1256856,-80.79115156
21117610,V163,35.10832052,-80.81632181
21932475,V911,35.08942619,-80.98311799
02941620,C916,35.38121293,-80.78251605
18714114,S720,35.14798233,-80.77632389
04737322,E715,35.29812967,-80.79304487
22957147,W970,35.02238645,-80.82516406
22723968,W744,35.10335467,-80.71644417
21304162,V332,35.11457172,-80.75701067
00520221,A530,35.48061115,-80.86317876
00730114,A724,35.48930518,-80.82987626
00520303,A530,35.48069552,-80.86261942
00523141,A513,35.4733979,-80.85866049
14122404,O110,35.18149539,-80.94594228
14504304,O506,35.21305827,-80.884144
14509136,O506,35.20904415,-80.88487129
14515301,O511,35.19966198,-80.88855249
10720245,K722,35.25439742,-80.71829363
03105368,D112,35.29422543,-80.96436284
03141375,D132,35.28925783,-80.95596467
05121726,F109,35.29999557,-80.68694691
21135206,V163,35.11167186,-80.81237127
21136401,V123,35.12510734,-80.80322424
21138117,V163,35.11781626,-80.81465673
21146114,V116,35.09979873,-80.79918214
04326234,E326,35.32087014,-80.81406691
03119532,D123,35.32541358,-80.96321016
03310929,D319,35.30726621,-80.90249481
03731342,D727,35.31419614,-80.87247042
03931983,D906,35.29202035,-80.8748331
08909416,I910,35.2703596,-80.78387489
18719123,S701,35.14052541,-80.7747909
03716683,D733,35.32903257,-80.85093058
18737204,S734,35.1300138,-80.78451148
21334117,V325,35.12163353,-80.75016163
18902212,S911,35.1780131,-80.7669519
18904113,S920,35.16530093,-80.77303783
21334135,V325,35.11988638,-80.74858093
18906424,S916,35.15699791,-80.77234963
18908106,S920,35.16967671,-80.76786777
18919311,S920,35.15593068,-80.76462759
21344122,V324,35.1030855,-80.77422644
03715542,D718,35.32757789,-80.86214514
05125240,F136,35.32227471,-80.69938578
21348527,V311,35.14223204,-80.75456111
03924112,D914,35.29623791,-80.88306651
21519132,V503,35.12455328,-80.68364089
15106119,P110,35.18971791,-80.84758703
15106403,P110,35.19157036,-80.85261037
22901420,W929,35.03456962,-80.83410033
21129336,V105,35.10501098,-80.80038217
14710156,O711,35.19297038,-80.85838517
14901227,O913,35.19260075,-80.87719119
15306212,P334,35.19421002,-80.83028975
14910414,O709,35.18384772,-80.86669325
15308328,P338,35.18719728,-80.82442078
21303337,V337,35.12344286,-80.74788925
21308314,V321,35.12376825,-80.77045192
21313314,V311,35.14260378,-80.7501179
09309218,J102,35.23834309,-80.79689382
10809333,K813,35.23506216,-80.68524955
01506231,B508,35.39748851,-80.90778617
09106201,J113,35.2457129,-80.79269961
09304129,J311,35.24254856,-80.78704422
09304231,J313,35.23891606,-80.78596635
11102730,L102,35.2460874,-80.68281268
22352311,W340,35.02353171,-80.84061756
05121967,F120,35.29992049,-80.68273771
20123242,U120,35.11263572,-80.98487025
18930171,S914,35.15619283,-80.76063112
00110744,A144,35.47727943,-80.89674735
19312102,AP04,35.14944537,-80.72053589
00530335,A517,35.45057106,-80.8742588
00544211,A520,35.44786792,-80.85323717
02941526,C916,35.37609425,-80.78250035
00532201,A520,35.44965609,-80.85665564
00537134,A551,35.45197843,-80.88194368
04926115,E914,35.28568021,-80.74045088
05143260,F111,35.30294977,-80.72217808
20922351,U942,35.10750096,-80.84835459
00540670,A525,35.47057634,-80.85357228
00903203,A901,35.41193577,-80.89623823
09505366,J515,35.22866168,-80.79879192
05143136,F111,35.30018027,-80.72050782
22310417,W331,35.05155139,-80.85895493
10503641,K528,35.28320954,-80.71859277
21302168,V303,35.11832545,-80.7400967
04113374,E121,35.28904126,-80.84364794
09930121,J901,35.22501593,-80.73179883
21337248,V341,35.1200687,-80.77370296
19922264,T903,35.16315997,-80.98478292
00538390,IN06,35.45576804,-80.85973115
00544421,A520,35.44995517,-80.85250956
20103430,U113,35.14179141,-80.9432655
05535316,F512,35.24506769,-80.94111422
22351217,W358,35.02540486,-80.85659466
22910827,W950,35.05184887,-80.80607742
22911557,W952,35.04973231,-80.80195425
14708134,M110,35.20033217,-80.86110846
14909306,O911,35.18287881,-80.87054026
14911111,O911,35.17818427,-80.86781427
14912509,O912,35.18583763,-80.86230215
14921143,O710,35.18260798,-80.85934979
21309644,V314,35.1303989,-80.76705806
21311520,V346,35.12875234,-80.75485231
21313329,V311,35.14510758,-80.75180415
21316124,V315,35.11605124,-80.75005861
21326107B,V313,35.12829391,-80.74179679
19956306,T915,35.15220563,-80.99039226
19956325,T915,35.15212519,-80.99428934
19956326,T915,35.15226453,-80.99439231
